Timestamp,PoorSignal,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma
2025-10-13 15:14:47.070398,0,57,70,786520,195461,58833,73046,7137,17090,12674,9495
2025-10-13 15:14:48.017698,0,60,66,438687,38492,19491,5428,4405,7858,9201,2937
2025-10-13 15:14:49.030136,0,70,64,90583,17527,790,24846,6419,14950,9290,8925
2025-10-13 15:14:50.013487,0,87,56,45538,9619,9893,5792,10807,16947,11707,2371
2025-10-13 15:14:51.009879,0,93,66,5386,9927,15368,17221,1965,6011,6563,1902
2025-10-13 15:14:52.001723,0,78,57,711115,237473,53386,8064,20970,7147,19453,6703
2025-10-13 15:14:53.000927,0,67,56,411436,43616,23621,5488,3077,7567,7641,1738
2025-10-13 15:14:54.010368,0,48,54,62760,35719,8706,4282,2049,3190,1096,684
2025-10-13 15:14:54.990508,0,37,27,64027,187613,3588,21357,10690,7620,7515,1096
2025-10-13 15:14:56.020029,0,48,30,593070,131400,19172,27085,14153,13365,29140,3284
2025-10-13 15:14:56.984480,0,51,38,20239,22341,28051,14335,4252,8710,5572,3651
2025-10-13 15:14:58.007273,0,61,44,29265,12910,9898,6044,7367,7513,4111,929
2025-10-13 15:14:58.977595,0,63,64,28880,12032,7762,12044,6326,1621,1171,736
2025-10-13 15:14:59.976131,0,66,70,46265,20999,10029,14090,6473,5473,2876,1980
2025-10-13 15:15:00.976944,0,66,64,53213,23192,5256,13606,5208,6143,1459,1560
2025-10-13 15:15:01.970146,0,44,64,104642,139889,59512,38015,8888,4377,3047,1462
2025-10-13 15:15:02.967123,0,41,63,119333,21008,17988,4040,2512,1391,1420,518
2025-10-13 15:15:03.962389,0,29,50,250138,97147,11685,6599,5760,3528,2060,621
2025-10-13 15:15:04.982465,0,21,48,103928,132919,52340,14489,10340,12210,3744,6827
2025-10-13 15:15:05.953234,0,37,57,22222,28029,26030,39464,6344,9683,2135,1339
2025-10-13 15:15:06.951330,0,41,57,31186,55052,38088,23136,7454,6514,1703,963
2025-10-13 15:15:07.948941,0,43,69,46721,29458,14780,11555,12503,2237,1996,1379
2025-10-13 15:15:08.937377,0,51,74,22952,10498,6568,6914,6597,3183,1306,1060
2025-10-13 15:15:09.952014,0,50,63,129549,83253,41562,6035,3578,10394,1945,1668
2025-10-13 15:15:10.930577,0,48,54,281809,38558,14256,10279,22951,3124,4855,2607
2025-10-13 15:15:11.944729,0,56,56,50284,25076,13120,13789,6666,5206,4078,2423
2025-10-13 15:15:12.927727,0,57,51,16324,25664,4810,10512,4002,6962,2744,805
2025-10-13 15:15:13.924381,0,69,50,235464,18773,14707,2016,6233,12232,20472,11910
2025-10-13 15:15:14.919566,0,67,41,576022,119486,10618,8842,9489,5953,4947,2275
2025-10-13 15:15:15.909374,0,64,37,121213,22804,5895,5859,2143,2419,1510,1776
2025-10-13 15:15:16.924567,0,57,27,787627,294019,54422,10820,22141,25323,10376,4623
2025-10-13 15:15:17.907996,0,44,23,223059,70382,18023,6332,9216,6680,7289,3965
2025-10-13 15:15:18.915555,0,50,37,346297,69619,20894,20729,12033,7810,16479,11715
2025-10-13 15:15:19.902812,0,44,37,332342,240918,59668,47837,4919,12150,15185,11631
2025-10-13 15:15:20.910640,0,41,30,130215,157425,15787,12017,49686,9962,7143,7512
2025-10-13 15:15:21.887406,0,40,43,69890,33989,14501,19398,4025,4354,14452,3570
2025-10-13 15:15:22.886720,0,38,47,20221,61723,24202,35857,7820,7659,4894,5973
2025-10-13 15:15:23.882572,0,47,35,49862,113218,4051,13204,16353,11054,8940,3955
2025-10-13 15:15:24.874881,0,57,47,483241,7900,1648,3267,1857,2748,3583,1130
2025-10-13 15:15:25.897714,0,80,40,309924,8749,8097,15304,16756,31638,31389,9912
2025-10-13 15:15:26.867549,0,100,34,24529,27100,37448,7359,24739,61082,18455,18396
2025-10-13 15:15:27.864829,0,100,53,23293,14633,17348,19827,4216,16220,13562,9533
2025-10-13 15:15:28.862683,0,100,61,27059,5205,2902,14626,8239,9016,6012,1854
2025-10-13 15:15:29.861600,0,96,57,83442,35740,11103,1767,3916,4121,2088,1628
2025-10-13 15:15:30.857968,0,91,56,21008,6284,2751,1863,3881,4970,1925,1112
2025-10-13 15:15:31.850341,0,84,60,596857,104848,254603,43111,46819,56083,25859,20072
2025-10-13 15:15:32.865586,0,81,50,309209,47938,16170,9670,17294,18470,14944,6775
2025-10-13 15:15:33.844969,0,100,51,23480,15783,18790,11664,5037,65492,10823,11676
2025-10-13 15:15:34.858904,0,90,60,20609,23204,6855,22566,7776,7766,8489,2130
2025-10-13 15:15:35.837773,0,69,48,206059,135983,56653,23505,8441,3259,9316,6738
2025-10-13 15:15:36.831465,0,69,38,438788,69992,6590,5499,17087,26202,29739,6137
2025-10-13 15:15:37.835388,0,57,44,25698,9099,13484,2504,6662,7176,4186,4811
2025-10-13 15:15:38.827769,0,53,44,45854,68181,40839,22276,10178,11771,14263,4364
2025-10-13 15:15:39.839881,0,74,27,525312,79080,6333,5565,18823,21682,12574,4691
2025-10-13 15:15:40.824218,0,56,48,1587420,221625,96919,93899,5191,12657,4287,3481
2025-10-13 15:15:41.831688,0,43,34,1902667,447104,37092,39767,28845,30387,17672,3567
2025-10-13 15:15:42.811579,0,48,20,510246,62959,6864,12179,35674,12301,1990,1663
2025-10-13 15:15:43.806597,0,37,24,49472,44382,4017,3808,3051,2832,2392,1468
2025-10-13 15:15:44.802643,0,48,20,35617,38916,22753,5895,12302,8235,8789,2105
2025-10-13 15:15:45.803976,0,57,38,26141,12477,9194,18631,7252,8307,2752,2711
2025-10-13 15:15:46.794784,0,47,64,19706,12812,29495,24365,4930,2003,2178,3446
2025-10-13 15:15:47.796098,0,50,90,77621,1213,7564,6271,2971,1472,663,175
2025-10-13 15:15:48.800252,0,43,87,191913,95909,17415,15005,7107,6343,3633,1778
2025-10-13 15:15:49.799276,0,40,91,13976,9457,15091,18506,6613,6250,2465,453
2025-10-13 15:15:50.779909,0,51,77,35224,22576,24049,3368,12481,7503,2621,2814
2025-10-13 15:15:51.774722,0,50,70,205270,8070,4048,14327,3261,1782,1237,1519
2025-10-13 15:15:52.780208,0,64,88,10171,4763,11729,18369,2232,11740,6670,926
2025-10-13 15:15:53.778806,0,56,88,10252,18899,12940,38188,7684,3373,2359,1077
2025-10-13 15:15:54.763948,0,50,83,845430,335995,111515,42614,22501,36225,48519,7138
2025-10-13 15:15:55.782747,0,51,77,154584,144732,48858,79338,17636,22301,5406,13467
2025-10-13 15:15:56.760023,0,48,74,10414,8999,7792,20207,7149,8461,1294,1554
2025-10-13 15:15:57.766975,0,44,63,17129,41308,10447,22260,8897,2783,2195,1063
2025-10-13 15:15:58.757637,0,48,75,15369,13792,19742,7680,4294,4530,1196,1795
2025-10-13 15:15:59.742623,0,41,77,4218,37634,4171,29663,4969,2236,1191,1325
2025-10-13 15:16:00.749214,0,34,88,21733,6953,69867,27444,5508,7299,2635,1432
2025-10-13 15:16:01.736177,0,43,87,10046,18149,15499,6541,7775,5010,1929,1534
2025-10-13 15:16:02.750824,0,44,87,8323,8062,3229,14834,2881,3762,1886,2825
2025-10-13 15:16:03.727926,0,48,80,8776,18176,8632,2616,4212,1358,2253,687
2025-10-13 15:16:04.746214,0,41,75,26711,11223,35184,32750,9901,2251,2402,989
2025-10-13 15:16:05.738737,0,34,63,38200,26445,3396,2572,3738,1424,1005,288
2025-10-13 15:16:06.717681,0,29,57,11837,18791,7574,12285,3670,3730,1777,1003
2025-10-13 15:16:07.720236,0,38,66,6677,7510,13216,5937,7955,3720,2553,3450
2025-10-13 15:16:08.711915,0,56,51,29527,14535,8218,8765,1859,9363,2293,3868
2025-10-13 15:16:09.721010,0,60,64,538352,39232,13859,18725,5835,5518,3367,2303
2025-10-13 15:16:10.704396,0,60,69,180817,10371,14578,16474,9484,4023,4675,998
2025-10-13 15:16:11.715631,0,57,70,13306,15942,765,27313,5027,4864,2993,828
2025-10-13 15:16:12.697850,0,51,67,6974,31000,11555,14759,9040,5747,3094,925
2025-10-13 15:16:13.694509,0,43,61,51682,79926,14595,12504,3330,2938,2071,2658
2025-10-13 15:16:14.705400,0,40,54,30021,44535,22732,14621,6116,5303,3081,3476
2025-10-13 15:16:15.681715,0,41,43,218922,44761,6222,10050,5884,7290,6078,3065
2025-10-13 15:16:16.697121,0,34,50,2458,21189,42084,4236,15884,2654,5797,2345
2025-10-13 15:16:17.676304,0,47,54,378485,43158,4827,33556,19207,12870,10646,5146
2025-10-13 15:16:18.700784,0,51,43,1551530,182346,14436,36442,18377,30288,16558,5284
2025-10-13 15:16:19.670534,0,53,44,618035,51014,4136,21763,18501,10360,9288,16358
2025-10-13 15:16:20.665431,0,57,43,15587,37915,23893,32217,7048,6149,3449,2749
2025-10-13 15:16:21.659087,0,56,48,23352,18057,12422,7946,1438,5983,3017,870
2025-10-13 15:16:22.660466,0,63,61,14540,11840,21556,16347,10737,14488,9656,8432
2025-10-13 15:16:23.691682,0,61,75,25445,28717,31698,33269,11148,11130,3672,3967
2025-10-13 15:16:24.654903,0,63,61,199286,28715,6692,3417,1443,3576,3418,1858
2025-10-13 15:16:25.655692,0,69,63,17662,2869,17618,12239,19669,11344,7286,804
2025-10-13 15:16:26.643888,0,66,51,789194,33081,21062,2740,34534,9807,9110,5135
2025-10-13 15:16:27.652813,0,64,44,28608,35063,24097,9748,17139,6780,5351,2969
2025-10-13 15:16:28.634945,0,69,54,58813,9985,13467,9369,9697,6206,7869,3571
2025-10-13 15:16:29.635251,0,53,48,25045,55357,17230,9571,11689,3538,2870,5765
2025-10-13 15:16:30.639276,0,54,53,501601,47811,38589,8187,25843,17042,16157,4083
2025-10-13 15:16:31.625165,0,53,56,166908,36118,19745,14481,4633,6378,3970,2307
2025-10-13 15:16:32.651554,0,44,63,16158,18013,47426,20733,12236,4762,2659,1843
2025-10-13 15:16:33.613962,0,50,57,76147,54044,8412,8873,9295,5981,10136,2622
2025-10-13 15:16:34.631756,0,50,57,76088,23179,18009,7216,19337,7534,8391,2672
2025-10-13 15:16:35.606199,0,44,48,225599,237559,42934,16095,4333,14849,6579,7994
2025-10-13 15:16:36.604191,0,47,40,16893,30851,34170,13923,16697,6425,8252,7766
2025-10-13 15:16:37.602606,0,43,53,59302,44362,56133,17864,26766,5174,6930,3894
2025-10-13 15:16:38.599938,0,47,56,19931,16073,9010,22730,7203,13673,13729,6315
2025-10-13 15:16:39.605878,0,53,69,54458,27218,20115,11965,5594,6356,3071,4676
2025-10-13 15:16:40.590044,0,54,61,68621,10966,2822,3133,1992,1649,1008,1632
2025-10-13 15:16:41.630488,0,63,56,47378,15326,8156,6463,7179,4494,4374,1329
2025-10-13 15:16:42.584101,0,57,53,12315,34658,26669,4695,7189,10449,2624,2644
2025-10-13 15:16:43.578572,0,53,43,122065,78216,19085,5889,9666,6162,1265,2154
2025-10-13 15:16:44.572059,0,44,43,74540,341675,108097,38477,10197,13809,16915,4934
2025-10-13 15:16:45.570376,0,37,35,249901,115500,16869,15530,10442,8041,11254,4948
2025-10-13 15:16:46.578593,0,30,40,9688,20938,28832,4166,9877,4090,1437,2796
2025-10-13 15:16:47.561303,0,37,44,14751,13243,937,8728,3440,2425,3956,880
2025-10-13 15:16:48.581238,0,44,43,44186,6441,1820,1018,1295,877,805,243
2025-10-13 15:16:49.556298,0,44,47,87963,30990,5296,5062,2074,2231,4912,516
2025-10-13 15:16:50.587529,0,41,40,130039,96353,40024,14335,10479,7223,8464,7620
2025-10-13 15:16:51.549836,0,43,41,1017559,158661,94873,42999,38873,44496,44168,12559
2025-10-13 15:16:52.544868,0,40,38,94353,115770,20922,13503,8758,7922,23083,8815
2025-10-13 15:16:53.547586,0,47,47,158350,31728,12483,17626,6707,8982,5166,4049
2025-10-13 15:16:54.536218,0,53,48,768092,59748,16587,44453,15882,13480,11869,8355
2025-10-13 15:16:55.552509,0,53,50,46548,25721,16884,13078,9735,8137,3762,8786
2025-10-13 15:16:56.530152,0,64,63,39607,3920,6121,2580,2267,2719,2027,354
2025-10-13 15:16:57.523023,0,60,74,21025,20478,45815,35533,10332,7345,3323,1143
2025-10-13 15:16:58.525646,0,63,74,12729,27835,8008,16984,3262,8505,1964,760
2025-10-13 15:16:59.521988,0,60,77,104275,30708,43525,14148,15156,8272,1823,1414
2025-10-13 15:17:00.521509,0,51,64,91901,78185,11621,11298,11570,7165,4830,1870
2025-10-13 15:17:01.509910,0,56,60,7833,14134,14256,14359,4332,5320,1004,476
2025-10-13 15:17:02.511295,0,51,56,11210,34099,8074,11921,5697,4853,2719,1103
2025-10-13 15:17:03.505956,0,50,56,1756,16409,16801,6869,2289,3607,1939,1107
2025-10-13 15:17:04.518571,0,53,70,15329,8786,5266,22957,9603,4472,1365,281
2025-10-13 15:17:05.497175,0,41,67,548886,121158,67561,62673,8453,6583,7519,1482
2025-10-13 15:17:06.493705,0,34,78,90384,34484,2979,53956,9758,2909,2040,1019
2025-10-13 15:17:07.489766,0,24,81,17489,25502,47265,17666,7134,3120,1260,1602
2025-10-13 15:17:08.488503,0,21,87,5735,18712,32617,35771,8873,5664,7694,885
2025-10-13 15:17:09.491427,0,34,84,20604,12137,6312,9456,5833,3240,1725,1952
2025-10-13 15:17:10.478032,0,44,84,1311598,38501,74141,9477,10637,17936,26157,12984
2025-10-13 15:17:11.485665,0,63,77,12359,18297,7664,19062,6566,15278,18647,4785
2025-10-13 15:17:12.473087,0,67,74,13269,8622,14961,15078,12586,4623,12906,3860
2025-10-13 15:17:13.462021,0,67,74,21461,73952,26872,69222,22044,20818,7015,3362
2025-10-13 15:17:14.461287,0,69,69,15560,15718,13453,5590,2149,6874,2241,3486
2025-10-13 15:17:15.456783,0,56,81,14650,14822,18143,43354,8808,4061,2625,972
2025-10-13 15:17:16.468161,0,54,81,197991,119654,165623,159214,70612,45937,12638,5492
2025-10-13 15:17:17.446543,0,57,75,972790,280323,124263,54202,97548,96469,44334,19834
2025-10-13 15:17:18.468681,0,56,63,447553,611128,45119,125804,39176,122378,73312,21542
2025-10-13 15:17:19.444654,0,63,40,648985,66906,3642,13361,8576,11065,9816,1450
2025-10-13 15:17:20.433915,0,61,38,36989,22378,30779,16105,10273,6294,13699,9018
2025-10-13 15:17:21.435320,0,50,35,9208,183066,33141,17320,7299,8822,23412,4145
2025-10-13 15:17:22.432683,0,40,61,2293,9813,13852,35401,1826,2746,1511,2537
2025-10-13 15:17:23.436959,0,30,63,68446,164954,27151,23703,8425,9507,10682,7442
2025-10-13 15:17:24.420557,51,30,63,38388,9089,3719,6358,2409,1211,371,198
2025-10-13 15:17:25.435283,0,29,43,747742,18971,538,2707,3149,1455,818,875
2025-10-13 15:17:26.423519,0,40,51,2151258,186699,77450,104365,32645,53860,39516,8537
2025-10-13 15:17:27.409334,51,40,51,1262838,9955,12487,14551,13946,2749,3180,5742
2025-10-13 15:17:28.411554,51,40,51,1128182,353869,349673,435922,102176,301821,89386,65166
2025-10-13 15:17:29.400123,0,34,26,1531685,215501,33670,25316,13922,4801,18964,3615
2025-10-13 15:17:30.406348,0,35,38,727916,97518,65259,38635,10442,12910,8563,11695
2025-10-13 15:17:31.393787,0,27,43,422167,13938,3162,731,1001,566,423,92
2025-10-13 15:17:32.407277,0,27,27,963241,42745,2704,4603,9883,6889,2856,3444
2025-10-13 15:17:33.388311,0,37,27,122160,76295,4103,19078,6897,5256,1339,2475
2025-10-13 15:17:34.399591,0,35,44,8574,8521,45146,37017,4110,4311,1655,900
2025-10-13 15:17:35.392745,0,44,56,8949,18785,1198,21828,4293,4900,966,950
2025-10-13 15:17:36.378478,0,43,75,11456,18488,5595,23588,7770,5467,1117,1732
2025-10-13 15:17:37.372732,0,47,87,5240,26494,20140,12231,8826,4787,2317,2079
2025-10-13 15:17:38.371209,0,47,74,45240,19425,20512,10630,6239,2348,2159,970
2025-10-13 15:17:39.379517,0,43,66,134846,95822,14058,37688,14410,12180,8854,2823
2025-10-13 15:17:40.361378,0,35,56,24851,81120,14525,14799,6425,4466,4372,2929
2025-10-13 15:17:41.371397,0,38,50,19795,43247,13890,9873,10212,7798,4536,1977
2025-10-13 15:17:42.355298,0,34,21,666377,485054,16975,20882,26407,13620,9604,2498
2025-10-13 15:17:43.349897,0,40,17,2654564,91920,13812,30951,34389,25623,18755,5004
2025-10-13 15:17:44.356169,0,41,11,212801,123218,2855,20382,7178,6939,12377,6144
2025-10-13 15:17:45.340918,0,40,10,227516,46422,15549,4626,4567,6824,4593,2396
2025-10-13 15:17:46.354694,0,48,20,384165,118338,19665,10066,6888,11148,9099,4704
2025-10-13 15:17:47.336819,0,35,26,165040,47768,15984,9149,2438,2093,5114,1963
2025-10-13 15:17:48.351052,0,43,41,318571,16537,5185,17065,4975,5861,5772,5135
2025-10-13 15:17:49.327689,0,38,30,1196200,89824,3187,8838,3749,5281,1606,2800
2025-10-13 15:17:50.325004,0,35,34,1027726,219584,7245,61222,16802,14263,8176,2614
2025-10-13 15:17:51.335208,0,48,26,83915,13416,2285,3259,7180,3430,1100,1102
2025-10-13 15:17:52.318914,0,47,8,432858,255687,7205,31743,16013,29017,48086,8056
2025-10-13 15:17:53.320153,0,60,20,645340,73446,30004,12519,12499,34032,8237,4622
2025-10-13 15:17:54.309631,0,66,24,663977,11402,5159,1038,585,2214,544,183
2025-10-13 15:17:55.326174,0,50,21,934643,365905,9512,62763,28474,8553,11679,13073
2025-10-13 15:17:56.305575,0,38,27,114864,158491,25609,11474,9005,3901,1284,1355
2025-10-13 15:17:57.313655,0,29,35,1816761,23585,10439,13575,3199,4092,710,478
2025-10-13 15:17:58.291984,0,24,30,125514,52641,9553,13500,8713,5520,4141,3955
2025-10-13 15:17:59.287603,0,35,24,1387631,166480,3107,14339,15995,12939,1624,2554
2025-10-13 15:18:00.304937,52,35,24,324822,2811,114,183,118,86,39,4
2025-10-13 15:18:01.282100,25,35,24,345,30,2,7,3,7,0,2
2025-10-13 15:18:02.291995,25,35,24,31960,77851,7692,6177,960,1122,172,277
2025-10-13 15:18:03.273186,25,35,24,536266,544871,106077,67575,43000,24496,9658,20852
2025-10-13 15:18:04.287163,0,41,26,686267,312740,21667,77883,42385,21729,34205,11743
2025-10-13 15:18:05.266087,0,37,20,74490,81278,24209,13972,20524,6244,4203,770
2025-10-13 15:18:06.264478,0,34,26,61492,68083,32119,17902,6190,5803,3624,2984
2025-10-13 15:18:07.262324,0,30,35,51699,34932,1829,7065,3563,2167,720,330
2025-10-13 15:18:08.256092,0,43,41,16985,10657,2798,10464,7194,5497,1524,1295
2025-10-13 15:18:09.294884,0,54,44,54004,18787,10233,7262,8184,8943,2872,4117
2025-10-13 15:18:10.244226,0,56,38,1519448,309586,82454,31424,38710,26053,32816,38096
2025-10-13 15:18:11.265685,0,64,51,752907,56830,42791,42228,15218,21299,5546,13476
2025-10-13 15:18:12.236805,0,53,54,38192,60678,57159,5734,7678,6658,3637,1286
2025-10-13 15:18:13.236711,0,44,56,926598,195380,104797,43128,44654,26687,25732,12224
2025-10-13 15:18:14.233876,0,43,53,126771,145870,19980,15244,14966,8679,7330,1330
2025-10-13 15:18:15.231823,0,47,48,14948,12158,5395,5433,2031,5662,4110,1025
2025-10-13 15:18:16.235631,0,56,41,28734,21252,5208,12964,9891,7629,3025,4488
2025-10-13 15:18:17.223340,0,60,54,5583,6587,18141,19863,7911,4739,2283,1358
2025-10-13 15:18:18.259554,0,63,80,2058,12977,17481,41367,3166,4835,4049,1450
2025-10-13 15:18:19.218133,0,51,91,13716,11278,15023,29676,6968,3548,1304,850
2025-10-13 15:18:20.226727,0,38,83,106299,30994,2166,4307,1607,1358,1155,1084
2025-10-13 15:18:21.202059,0,38,77,15223,13700,10287,20394,12484,4286,4558,3403
2025-10-13 15:18:22.204017,0,34,56,17010,174999,45822,24413,13047,9925,5247,1516
2025-10-13 15:18:23.205328,0,41,56,38371,19508,78396,14238,6481,17127,4235,1825
2025-10-13 15:18:24.197075,0,44,69,31015,13893,5690,7414,3206,1585,2085,1264
2025-10-13 15:18:25.194388,0,48,69,10737,16846,12468,27759,12075,9543,1583,1127
2025-10-13 15:18:26.184380,0,61,74,7908,9731,6017,5723,7654,4022,2757,2219
2025-10-13 15:18:27.233232,0,56,50,583833,99443,5976,21552,25525,11531,12224,4006
2025-10-13 15:18:28.182911,0,57,53,587941,107506,56024,70501,12940,17216,5085,7513
2025-10-13 15:18:29.172901,0,51,48,103000,21342,5285,9126,3534,2362,1858,297
2025-10-13 15:18:30.171204,0,47,47,161577,45583,23001,11396,21842,7305,4719,6664
2025-10-13 15:18:31.166989,0,47,48,88931,121343,20576,18507,15728,14049,7025,3858
2025-10-13 15:18:32.181033,0,54,35,194724,30820,1266,8410,7184,8363,1219,720
2025-10-13 15:18:33.159344,0,63,37,11531,11190,12172,6994,10328,6485,3909,749
2025-10-13 15:18:34.171669,0,60,56,28979,20938,705,118061,5146,7327,2188,1329
2025-10-13 15:18:35.151102,0,54,63,36878,57736,13744,19859,2540,4903,3343,1791
2025-10-13 15:18:36.154750,0,43,61,192176,217039,14317,28531,10710,15139,3703,6116
2025-10-13 15:18:37.145326,0,30,56,875724,282080,106628,20665,29240,19617,19827,3251
2025-10-13 15:18:38.140172,0,37,37,191322,34097,7409,11466,4176,4832,9651,5207
2025-10-13 15:18:39.148011,0,26,35,110506,49426,15233,9165,6321,1348,862,1396
2025-10-13 15:18:40.134060,0,23,53,101435,55759,47718,35544,9237,5233,6507,3623
2025-10-13 15:18:41.152143,0,27,41,22475,87530,537,12318,10823,9096,6350,2837
2025-10-13 15:18:42.127839,0,20,26,265555,231268,15937,10278,19425,8143,5893,4438
2025-10-13 15:18:43.125618,0,29,16,76575,165491,14742,14318,9061,11784,3484,3286
2025-10-13 15:18:44.122389,0,37,1,34650,32895,2486,5278,2501,2988,1862,749
2025-10-13 15:18:45.116818,0,37,16,963218,52774,9959,37705,15868,10060,6252,4203
